date,price
2014-04-15,72809.0
2014-04-16,68594.0
2014-04-17,65190.0
2014-04-18,56996.0
2014-04-19,53515.0
2014-04-20,49043.0
2014-04-21,58110.0
2014-04-22,78042.0
2014-04-23,73954.0
2014-04-24,72694.0
2014-04-25,72650.0
2014-04-26,52175.0
2014-04-27,52629.0
2014-04-28,64546.0
2014-04-29,65038.0
2014-04-30,63657.0
2014-05-01,59658.0
2014-05-02,59981.0
2014-05-03,54157.0
2014-05-04,51769.0
2014-05-05,67763.0
2014-05-06,77228.0
2014-05-07,69825.0
2014-05-08,68937.0
2014-05-09,66293.0
2014-05-10,56416.0
2014-05-11,52590.0
2014-05-12,74418.0
2014-05-13,69357.0
2014-05-14,69808.0
2014-05-15,74893.0
2014-05-16,65433.0
2014-05-17,53511.0
2014-05-18,49912.0
2014-05-19,64094.0
2014-05-20,71520.0
2014-05-21,68905.0
2014-05-22,73343.0
2014-05-23,72810.0
2014-05-24,52872.0
2014-05-25,57566.0
2014-05-26,67007.0
2014-05-27,68524.0
2014-05-28,72338.0
2014-05-29,65362.0
2014-05-30,65127.0
2014-05-31,52172.0
2014-06-01,55222.0
2014-06-02,64434.0
2014-06-03,69655.0
2014-06-04,65094.0
2014-06-05,66945.0
2014-06-06,62342.0
2014-06-07,51210.0
2014-06-08,48308.0
2014-06-09,59875.0
2014-06-10,63316.0
2014-06-11,62827.0
2014-06-12,64744.0
2014-06-13,64739.0
2014-06-14,53596.0
2014-06-15,53916.0
2014-06-16,68262.0
2014-06-17,70077.0
2014-06-18,63888.0
2014-06-19,62454.0
2014-06-20,57381.0
2014-06-21,51173.0
2014-06-22,50104.0
2014-06-23,60216.0
2014-06-24,64883.0
2014-06-25,64397.0
2014-06-26,61432.0
2014-06-27,62966.0
2014-06-28,54392.0
2014-06-29,49922.0
2014-06-30,69403.0
2014-07-01,69443.0
2014-07-02,66728.0
2014-07-03,62849.0
2014-07-04,59494.0
2014-07-05,49954.0
2014-07-06,52139.0
2014-07-07,64686.0
2014-07-08,70117.0
2014-07-09,68518.0
2014-07-10,64605.0
2014-07-11,59077.0
2014-07-12,53454.0
2014-07-13,52417.0
2014-07-14,62761.0
2014-07-15,72316.0
2014-07-16,65571.0
2014-07-17,66233.0
2014-07-18,64062.0
2014-07-19,59553.0
2014-07-20,52001.0
2014-07-21,64190.0
2014-07-22,66858.0
2014-07-23,66883.0
2014-07-24,66276.0
2014-07-25,61498.0
2014-07-26,56333.0
2014-07-27,51991.0
2014-07-28,64744.0
2014-07-29,61607.0
2014-07-30,66153.0
2014-07-31,69761.0
2014-08-01,67915.0
2014-08-02,54989.0
2014-08-03,53621.0
2014-08-04,67847.0
2014-08-05,72823.0
2014-08-06,80402.0
2014-08-07,69913.0
2014-08-08,68262.0
2014-08-09,60634.0
2014-08-10,57913.0
2014-08-11,75575.0
2014-08-12,76982.0
2014-08-13,75738.0
2014-08-14,79082.0
2014-08-15,73193.0
2014-08-16,67974.0
2014-08-17,60223.0
2014-08-18,72758.0
2014-08-19,74740.0
2014-08-20,73842.0
2014-08-21,73164.0
2014-08-22,66998.0
2014-08-23,57593.0
2014-08-24,56695.0
2014-08-25,69894.0
2014-08-26,72660.0
2014-08-27,74581.0
2014-08-28,68628.0
2014-08-29,68614.0
2014-08-30,61214.0
2014-08-31,57755.0
2014-09-01,70383.0
2014-09-02,71909.0
2014-09-03,71868.0
2014-09-04,70810.0
2014-09-05,68038.0
2014-09-06,63369.0
2014-09-07,60352.0
2014-09-08,75766.0
2014-09-09,81812.0
2014-09-10,72558.0
2014-09-11,66026.0
2014-09-12,68384.0
2014-09-13,61246.0
2014-09-14,67655.0
2014-09-15,78666.0
2014-09-16,87234.0
2014-09-17,80305.0
2014-09-18,77364.0
2014-09-19,69437.0
2014-09-20,63482.0
2014-09-21,59800.0
2014-09-22,73289.0
2014-09-23,77283.0
2014-09-24,74974.0
2014-09-25,78523.0
2014-09-26,72555.0
2014-09-27,62973.0
2014-09-28,62605.0
2014-09-29,77924.0
2014-09-30,78006.0
2014-10-01,78779.0
2014-10-02,72059.0
2014-10-03,75121.0
2014-10-04,66632.0
2014-10-05,67330.0
2014-10-06,78049.0
2014-10-07,79069.0
2014-10-08,78818.0
2014-10-09,82789.0
2014-10-10,81058.0
2014-10-11,65020.0
2014-10-12,63509.0
2014-10-13,77942.0
2014-10-14,81364.0
2014-10-15,76257.0
2014-10-16,75737.0
2014-10-17,70839.0
2014-10-18,66477.0
2014-10-19,63255.0
2014-10-20,82700.0
2014-10-21,81651.0
2014-10-22,79987.0
2014-10-23,80638.0
2014-10-24,77906.0
2014-10-25,72515.0
2014-10-26,70762.0
2014-10-27,83977.0
2014-10-28,87980.0
2014-10-29,93667.0
2014-10-30,92622.0
2014-10-31,85703.0
2014-11-01,69591.0
2014-11-02,77170.0
2014-11-03,90351.0
2014-11-04,87617.0
2014-11-05,89460.0
2014-11-06,93387.0
2014-11-07,84866.0
2014-11-08,72717.0
2014-11-09,72212.0
2014-11-10,88994.0
2014-11-11,85618.0
2014-11-12,95579.0
2014-11-13,92958.0
2014-11-14,86307.0
2014-11-15,73242.0
2014-11-16,76009.0
2014-11-17,88354.0
2014-11-18,87524.0
2014-11-19,85271.0
2014-11-20,89388.0
2014-11-21,82179.0
2014-11-22,74725.0
2014-11-23,77283.0
2014-11-24,85807.0
2014-11-25,86134.0
2014-11-26,85111.0
2014-11-27,84682.0
2014-11-28,85912.0
2014-11-29,79098.0
2014-11-30,85013.0
2014-12-01,97623.0
2014-12-02,99419.0
2014-12-03,99348.0
2014-12-04,98348.0
2014-12-05,90900.0
2014-12-06,81230.0
2014-12-07,74792.0
2014-12-08,90746.0
2014-12-09,90220.0
2014-12-10,88798.0
2014-12-11,84005.0
2014-12-12,81297.0
2014-12-13,76207.0
2014-12-14,79703.0
2014-12-15,94459.0
2014-12-16,101064.0
2014-12-17,98444.0
2014-12-18,95207.0
2014-12-19,95405.0
2014-12-20,86901.0
2014-12-21,78963.0
2014-12-22,96511.0
2014-12-23,99469.0
2014-12-24,82347.0
2014-12-25,67918.0
2014-12-26,76198.0
2014-12-27,76814.0
2014-12-28,75715.0
2014-12-29,83447.0
2014-12-30,85049.0
2014-12-31,77411.0
2015-01-01,59344.0
2015-01-02,79287.0
2015-01-03,82227.0
2015-01-04,85694.0
